Vivado Simulator 2019.2
Time resolution is 1 ps
blk_mem_gen_v8_4_4 collision detected at time: 395000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 435000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 455000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 495000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 515000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 555000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 575000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 615000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 635000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 675000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 695000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 735000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 755000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 795000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 815000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 855000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 875000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 915000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 935000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
blk_mem_gen_v8_4_4 collision detected at time: 975000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 995000, Instance: design_3_tb.uut.blk_mem_gen_0.inst.native_mem_mapped_module.blk_mem_gen_v8_4_4_inst, A read address: 0, B write address: 0
