Vivado Simulator 2019.2
Time resolution is 1 ps
Block Memory Generator module image_loader_module_tb.uut.IMG_LOADER.bram.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0 | x_tdata: 00000000 | x_tvalid: x | r_addr:    x
Time: 32775000 | x_tdata: 00000052 | x_tvalid: 1 | r_addr:   82
Time: 32785000 | x_tdata: 00000052 | x_tvalid: 1 | r_addr:   83
Time: 32785000 | x_tdata: 00000053 | x_tvalid: 1 | r_addr:   83
Time: 32795000 | x_tdata: 00000053 | x_tvalid: 1 | r_addr:   84
Time: 32795000 | x_tdata: 00000054 | x_tvalid: 1 | r_addr:   84
Time: 32805000 | x_tdata: 00000054 | x_tvalid: 1 | r_addr:   85
Time: 32805000 | x_tdata: 00000055 | x_tvalid: 1 | r_addr:   85
Time: 32815000 | x_tdata: 00000055 | x_tvalid: 1 | r_addr:   86
Time: 32815000 | x_tdata: 00000056 | x_tvalid: 1 | r_addr:   86
Time: 32825000 | x_tdata: 00000056 | x_tvalid: 1 | r_addr:   87
Time: 32825000 | x_tdata: 00000057 | x_tvalid: 1 | r_addr:   87
Time: 32835000 | x_tdata: 00000057 | x_tvalid: 1 | r_addr:   88
Time: 32835000 | x_tdata: 00000058 | x_tvalid: 1 | r_addr:   88
Time: 32845000 | x_tdata: 00000058 | x_tvalid: 1 | r_addr:   89
Time: 32845000 | x_tdata: 00000059 | x_tvalid: 1 | r_addr:   89
Time: 32855000 | x_tdata: 00000059 | x_tvalid: 1 | r_addr:   90
Time: 32855000 | x_tdata: 0000005a | x_tvalid: 1 | r_addr:   90
Time: 32865000 | x_tdata: 0000005a | x_tvalid: 1 | r_addr:   91
Time: 32865000 | x_tdata: 0000005b | x_tvalid: 1 | r_addr:   91
Time: 32875000 | x_tdata: 0000005b | x_tvalid: 1 | r_addr:   92
Time: 32875000 | x_tdata: 0000005c | x_tvalid: 1 | r_addr:   92
Time: 32885000 | x_tdata: 0000005c | x_tvalid: 1 | r_addr:   93
Time: 32885000 | x_tdata: 0000005d | x_tvalid: 1 | r_addr:   93
Time: 32895000 | x_tdata: 0000005d | x_tvalid: 1 | r_addr:   94
Time: 32895000 | x_tdata: 0000005e | x_tvalid: 1 | r_addr:   94
Time: 32905000 | x_tdata: 0000005e | x_tvalid: 1 | r_addr:   95
Time: 32905000 | x_tdata: 0000005f | x_tvalid: 1 | r_addr:   95
Time: 32915000 | x_tdata: 0000005f | x_tvalid: 1 | r_addr:   96
Time: 32915000 | x_tdata: 00000060 | x_tvalid: 1 | r_addr:   96
Time: 32925000 | x_tdata: 00000060 | x_tvalid: 1 | r_addr:   97
Time: 32925000 | x_tdata: 00000061 | x_tvalid: 1 | r_addr:   97
Time: 32935000 | x_tdata: 00000061 | x_tvalid: 1 | r_addr:   98
Time: 32935000 | x_tdata: 00000062 | x_tvalid: 1 | r_addr:   98
Time: 32945000 | x_tdata: 00000062 | x_tvalid: 1 | r_addr:   99
Time: 32945000 | x_tdata: 00000063 | x_tvalid: 1 | r_addr:   99
Time: 32955000 | x_tdata: 00000063 | x_tvalid: 1 | r_addr:  100
Time: 32955000 | x_tdata: 00000064 | x_tvalid: 1 | r_addr:  100
Time: 32965000 | x_tdata: 00000064 | x_tvalid: 1 | r_addr:  101
Time: 32965000 | x_tdata: 00000065 | x_tvalid: 1 | r_addr:  101
Time: 32975000 | x_tdata: 00000065 | x_tvalid: 1 | r_addr:  102
Time: 32975000 | x_tdata: 00000066 | x_tvalid: 1 | r_addr:  102
Time: 32985000 | x_tdata: 00000066 | x_tvalid: 1 | r_addr:  103
Time: 32985000 | x_tdata: 00000067 | x_tvalid: 1 | r_addr:  103
Time: 32995000 | x_tdata: 00000067 | x_tvalid: 1 | r_addr:  104
Time: 32995000 | x_tdata: 00000068 | x_tvalid: 1 | r_addr:  104
Time: 33005000 | x_tdata: 00000068 | x_tvalid: 1 | r_addr:  105
Time: 33005000 | x_tdata: 00000069 | x_tvalid: 1 | r_addr:  105
Time: 33015000 | x_tdata: 00000069 | x_tvalid: 1 | r_addr:  106
Time: 33015000 | x_tdata: 0000006a | x_tvalid: 1 | r_addr:  106
Time: 33025000 | x_tdata: 0000006a | x_tvalid: 1 | r_addr:  107
Time: 33025000 | x_tdata: 0000006b | x_tvalid: 1 | r_addr:  107
Time: 33035000 | x_tdata: 0000006b | x_tvalid: 1 | r_addr:  108
Time: 33035000 | x_tdata: 0000006c | x_tvalid: 1 | r_addr:  108
Time: 33045000 | x_tdata: 0000006c | x_tvalid: 1 | r_addr:  109
Time: 33045000 | x_tdata: 0000006d | x_tvalid: 1 | r_addr:  109
Time: 33055000 | x_tdata: 0000006d | x_tvalid: 1 | r_addr:  110
Time: 33055000 | x_tdata: 0000006e | x_tvalid: 1 | r_addr:  110
Time: 33065000 | x_tdata: 0000006e | x_tvalid: 1 | r_addr:  111
Time: 33065000 | x_tdata: 0000006f | x_tvalid: 1 | r_addr:  111
Time: 33075000 | x_tdata: 0000006f | x_tvalid: 1 | r_addr:  112
Time: 33075000 | x_tdata: 00000070 | x_tvalid: 1 | r_addr:  112
Time: 33085000 | x_tdata: 00000070 | x_tvalid: 1 | r_addr:  113
Time: 33085000 | x_tdata: 00000071 | x_tvalid: 1 | r_addr:  113
Time: 33095000 | x_tdata: 00000071 | x_tvalid: 1 | r_addr:  114
Time: 33095000 | x_tdata: 00000072 | x_tvalid: 1 | r_addr:  114
Time: 33105000 | x_tdata: 00000072 | x_tvalid: 1 | r_addr:  115
Time: 33105000 | x_tdata: 00000073 | x_tvalid: 1 | r_addr:  115
Time: 33115000 | x_tdata: 00000073 | x_tvalid: 1 | r_addr:  116
Time: 33115000 | x_tdata: 00000074 | x_tvalid: 1 | r_addr:  116
Time: 33125000 | x_tdata: 00000074 | x_tvalid: 1 | r_addr:  117
Time: 33125000 | x_tdata: 00000075 | x_tvalid: 1 | r_addr:  117
Time: 33135000 | x_tdata: 00000075 | x_tvalid: 1 | r_addr:  118
Time: 33135000 | x_tdata: 00000076 | x_tvalid: 1 | r_addr:  118
Time: 33145000 | x_tdata: 00000076 | x_tvalid: 1 | r_addr:  119
Time: 33145000 | x_tdata: 00000077 | x_tvalid: 1 | r_addr:  119
Time: 33155000 | x_tdata: 00000077 | x_tvalid: 1 | r_addr:  120
Time: 33155000 | x_tdata: 00000078 | x_tvalid: 1 | r_addr:  120
Time: 33165000 | x_tdata: 00000078 | x_tvalid: 1 | r_addr:  121
Time: 33165000 | x_tdata: 00000079 | x_tvalid: 1 | r_addr:  121
Time: 33175000 | x_tdata: 00000079 | x_tvalid: 1 | r_addr:  122
Time: 33175000 | x_tdata: 0000007a | x_tvalid: 1 | r_addr:  122
Time: 33185000 | x_tdata: 0000007a | x_tvalid: 1 | r_addr:  123
Time: 33185000 | x_tdata: 0000007b | x_tvalid: 1 | r_addr:  123
Time: 33195000 | x_tdata: 0000007b | x_tvalid: 1 | r_addr:  124
Time: 33195000 | x_tdata: 0000007c | x_tvalid: 1 | r_addr:  124
Time: 33205000 | x_tdata: 0000007c | x_tvalid: 1 | r_addr:  125
Time: 33205000 | x_tdata: 0000007d | x_tvalid: 1 | r_addr:  125
Time: 33215000 | x_tdata: 0000007d | x_tvalid: 1 | r_addr:  126
Time: 33215000 | x_tdata: 0000007e | x_tvalid: 1 | r_addr:  126
Time: 33225000 | x_tdata: 0000007e | x_tvalid: 1 | r_addr:  127
Time: 33225000 | x_tdata: 0000007f | x_tvalid: 1 | r_addr:  127
Time: 33235000 | x_tdata: 0000007f | x_tvalid: 1 | r_addr:  128
Time: 33235000 | x_tdata: 00000080 | x_tvalid: 1 | r_addr:  128
Time: 33245000 | x_tdata: 00000080 | x_tvalid: 1 | r_addr:  129
Time: 33245000 | x_tdata: 00000081 | x_tvalid: 1 | r_addr:  129
Time: 33255000 | x_tdata: 00000081 | x_tvalid: 1 | r_addr:  130
Time: 33255000 | x_tdata: 00000082 | x_tvalid: 1 | r_addr:  130
Time: 33265000 | x_tdata: 00000082 | x_tvalid: 1 | r_addr:  131
Time: 33265000 | x_tdata: 00000083 | x_tvalid: 1 | r_addr:  131
Time: 33275000 | x_tdata: 00000083 | x_tvalid: 1 | r_addr:  132
Time: 33275000 | x_tdata: 00000084 | x_tvalid: 1 | r_addr:  132
Time: 33285000 | x_tdata: 00000084 | x_tvalid: 1 | r_addr:  133
Time: 33285000 | x_tdata: 00000085 | x_tvalid: 1 | r_addr:  133
Time: 33295000 | x_tdata: 00000085 | x_tvalid: 1 | r_addr:  134
Time: 33295000 | x_tdata: 00000086 | x_tvalid: 1 | r_addr:  134
Time: 33305000 | x_tdata: 00000086 | x_tvalid: 1 | r_addr:  135
Time: 33305000 | x_tdata: 00000087 | x_tvalid: 1 | r_addr:  135
Time: 33315000 | x_tdata: 00000087 | x_tvalid: 1 | r_addr:  136
Time: 33315000 | x_tdata: 00000088 | x_tvalid: 1 | r_addr:  136
Time: 33325000 | x_tdata: 00000088 | x_tvalid: 1 | r_addr:  137
Time: 33325000 | x_tdata: 00000089 | x_tvalid: 1 | r_addr:  137
Time: 33335000 | x_tdata: 00000089 | x_tvalid: 1 | r_addr:  138
Time: 33335000 | x_tdata: 0000008a | x_tvalid: 1 | r_addr:  138
Time: 33345000 | x_tdata: 0000008a | x_tvalid: 1 | r_addr:  139
Time: 33345000 | x_tdata: 0000008b | x_tvalid: 1 | r_addr:  139
Time: 33355000 | x_tdata: 0000008b | x_tvalid: 1 | r_addr:  140
Time: 33355000 | x_tdata: 0000008c | x_tvalid: 1 | r_addr:  140
Time: 33365000 | x_tdata: 0000008c | x_tvalid: 1 | r_addr:  141
Time: 33365000 | x_tdata: 0000008d | x_tvalid: 1 | r_addr:  141
Time: 33375000 | x_tdata: 0000008d | x_tvalid: 1 | r_addr:  142
Time: 33375000 | x_tdata: 0000008e | x_tvalid: 1 | r_addr:  142
Time: 33385000 | x_tdata: 0000008e | x_tvalid: 1 | r_addr:  143
Time: 33385000 | x_tdata: 0000008f | x_tvalid: 1 | r_addr:  143
Time: 33395000 | x_tdata: 0000008f | x_tvalid: 1 | r_addr:  144
Time: 33395000 | x_tdata: 00000090 | x_tvalid: 1 | r_addr:  144
Time: 33405000 | x_tdata: 00000090 | x_tvalid: 1 | r_addr:  145
Time: 33405000 | x_tdata: 00000091 | x_tvalid: 1 | r_addr:  145
Time: 33415000 | x_tdata: 00000091 | x_tvalid: 1 | r_addr:  146
Time: 33415000 | x_tdata: 00000092 | x_tvalid: 1 | r_addr:  146
Time: 33425000 | x_tdata: 00000092 | x_tvalid: 1 | r_addr:  147
Time: 33425000 | x_tdata: 00000093 | x_tvalid: 1 | r_addr:  147
Time: 33435000 | x_tdata: 00000093 | x_tvalid: 1 | r_addr:  148
Time: 33435000 | x_tdata: 00000094 | x_tvalid: 1 | r_addr:  148
Time: 33445000 | x_tdata: 00000094 | x_tvalid: 1 | r_addr:  149
Time: 33445000 | x_tdata: 00000095 | x_tvalid: 1 | r_addr:  149
Time: 33455000 | x_tdata: 00000095 | x_tvalid: 1 | r_addr:  150
Time: 33455000 | x_tdata: 00000096 | x_tvalid: 1 | r_addr:  150
Time: 33465000 | x_tdata: 00000096 | x_tvalid: 1 | r_addr:  151
Time: 33465000 | x_tdata: 00000097 | x_tvalid: 1 | r_addr:  151
Time: 33475000 | x_tdata: 00000097 | x_tvalid: 1 | r_addr:  152
Time: 33475000 | x_tdata: 00000098 | x_tvalid: 1 | r_addr:  152
Time: 33485000 | x_tdata: 00000098 | x_tvalid: 1 | r_addr:  153
Time: 33485000 | x_tdata: 00000099 | x_tvalid: 1 | r_addr:  153
Time: 33495000 | x_tdata: 00000099 | x_tvalid: 1 | r_addr:  154
Time: 33495000 | x_tdata: 0000009a | x_tvalid: 1 | r_addr:  154
Time: 33505000 | x_tdata: 0000009a | x_tvalid: 1 | r_addr:  155
Time: 33505000 | x_tdata: 0000009b | x_tvalid: 1 | r_addr:  155
